label,in,out
京U2PE2F,001725,231158
京V143PV,001858,002327
渝M2JSQT,002959,205442
京M4QDYF,003233,101736
京TFS9938,010455,191357
京CGJ6QY,014212,020219
京CV1MC1,015937,194210
京A3ABR9,021212,171959
京A3ABR9,021212,171959
京BWFS7G,021711,201451
京CJFA2L,021727,221624
京QF52831,021833,220149
京RR1LD5,031954,125540
京QQ20CV,032119,071244
京IF9GN2,032817,100826
京TDL2596,033904,162824
京NMMPTV,041731,162635
京OEDTM2,042848,043005
京ZEVJA5,043258,234656
京WTPCPX,044554,063116
京D5A0AE,050007,114022
京IL15U1,050308,105600
京DF91453,050308,080258
晋GDVMTY,053305,142049
京KDX5260,060507,091521
京S4GRET,061927,073844
京CDW8176,062443,164722
京CFT8161,062915,225623
京IFMWCJ,070134,095027
京D3TZ03,074851,142721
京AH64R领,075139,141307
京KDNNLH,080113,124929
京KDC6865,081824,153056
京KDNNLH,080113,124929
京KDC6865,081824,153056
京MDC4781,083834,204838
京G69C30,084833,132639
京QKHW5H,084904,220208
京SZ7ZF9,090155,155010
京JAYDT9,092843,234942
京QE2HXG,093557,113756
冀D6G4T2,094113,200146
京DDW1761,094249,211606
京F7L320,095506,231533
京XYF2ND,100446,174947
京AF3MB0,100558,143433
京K0SPSH,100840,224235
京FNQETD,101540,230102
京D8TNJS,102908,210119
京LQFYXT,103022,153020
京PY2BKD,103159,154052
渝HAV8DL,110624,143456
京UDG4465,113503,155512
浙C14X6Z,113702,143452
京NFA9178,114229,165329
京VGWFWD,115325,220313
京GPRG8M,120558,143607
京Z4FHLQ,120822,190630
京GPRG8M,120558,143607
京Z4FHLQ,120822,190630
京REGBH3,121350,151202
京NQYNVZ,122055,174742
京PFNYWM,122415,191621
晋F6DVXM,124213,205724
京DEWY2F,124651,151102
京T4JY0N,125115,203832
京RGUXL3,131506,193706
京YYJNLG,133041,215240
京IWV4P9,133608,161540
京H6RL7F,134606,183113
京YLS8XL,134842,204222
京EQDE9A,140238,192324
京RYY03警,140542,212236
京EQDE9A,140238,192324
京RYY03警,140542,212236
京YSJ2B2,141147,232706
京WDPK07,142108,215557
京IJ3DC5,142428,170758
京J69Q2E,142948,192024
京Y06CST,143746,230523
京MJMX3G,152907,191343
京X4C94R,153900,185327
京H3XN8S,154104,235519
京NX97RH,154255,162049
京LT1AG8,154914,213510
京SZJGMK,155548,215933
京MD13406,155833,183044
京J0S6L4,162226,233013
京YP3CZJ,163214,220026
京JN8GU3,163243,171849
京CJ05Q9,164415,165354
京NHKRUW,164524,203621
京NKVPAZ,165128,194021
京YCYLLF,171542,190635
京YCYLLF,171542,190635
京PEFH90,171806,201824
京LADM9J,171916,202303
京OVG4C0,172643,213120
京I9TACL,172846,175518
京U6FY3领,173953,220032
京IF62663,174628,235247
京KR5KDL,180949,182144
京VFW1406,181520,214744
京S0FQ7S,182018,221255
鄂JCRB5W,182200,231911
京QJCV1D,182421,202339
京FFU3580,182801,231259
京CFJ4508,183435,213818
京Y8JY35,184325,234540
京PH5HWP,190234,230602
京B5R1ZP,192805,203014
京FFW4444,192902,200645
京PYF06V,200246,221635
京JMY9X7,200715,212100
云QRWSR9,201156,230946
京OFS6366,201602,234410
京LLQ8YR,202714,210330
京ORYQT3,202801,212255
京PYF06V,200246,221635
京JMY9X7,200715,212100
云QRWSR9,201156,230946
京OFS6366,201602,234410
京LLQ8YR,202714,210330
京ORYQT3,202801,212255
京HB8TA2,203139,234801
京MZP26N,205038,212303
京NK214V,211312,214644
京LQ2D1Y,212051,221239
京OX7QWG,212223,230845
京MFW4096,212327,213926
京J808FS,213621,213958
京YDQ7794,214104,222536
京RSSNW7,214956,230838
京HXDQ0X,223151,235204
京G9DNQ8,223205,231715
京FEB97Y,230238,232944
京TN0W4领,230602,231405
京GDR5687,231100,235636
京V8W6PX,231702,231902
京FEB97Y,230238,232944
京TN0W4领,230602,231405
京GDR5687,231100,235636
京V8W6PX,231702,231902
沪G540J8,234611,235455
